type,ins,i30,i25,i14,i13,i12,i6,i5,i4 ,i3,i2,ibin,ssel1,ssel0,lsel2,lsel1,lsel0,brsel3,brsel2,brsel1,brsel0,as4,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,obin
,,1,0,0,1,0,0,1,1,0,1,1001001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,0,0,1,1,0,1,1,0,1,1001101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,0,1,0,0,0,1,1,0,1,1010001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,0,1,0,1,0,1,1,0,1,1010101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,0,1,1,0,0,1,1,0,1,1011001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,0,1,1,1,0,1,1,0,1,1011101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,1,0,0,0,0,1,1,0,1,0100001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,1,0,0,1,0,1,1,0,1,0100101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,1,0,1,0,0,1,1,0,1,0101001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,1,0,1,1,0,1,1,0,1,0101101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,1,1,0,0,0,1,1,0,1,0110001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,1,1,0,1,0,1,1,0,1,0110101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,1,1,1,0,0,1,1,0,1,0111001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,1,1,1,1,0,1,1,0,1,0111101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
